かふそく,過不足
かぶら,かぶら
かぶり,かぶり
かぶり,かぶり
かぶる,かぶる
かぶる,かぶる
かぶる,かぶる
かべかけ,壁かけ
かべしんぶん,壁新聞
かほうわ,過飽和
かぼそい,か細い
かまう,かまう
かまえ,かまえ
かまえる,構える
がまぐち,がま口
かまくび,かま首
かます,かます
かまど,かまど
かみあらい,髪洗い
かみいれ,紙入れ
かみがくし,神隠し
かみかざり,髪飾り
かみきれ,紙きれ
かみしばい,紙芝居
かみすき,紙抄き
かみだのみ,神頼み
かみづつみ,紙包み
かみのく,上の句
かみのけ,髪の毛
かみゆい,髪結い
かめら,カメラ
かもす,かもす
かもめ,かもめ
かやり,蚊遣り
かゆい,かゆい
かよいちょう,通い帳
かよう,かよう
かようきょく,歌謡曲
がようし,画用紙
かようせい,可溶性
からあ,カラー
からあ,カラー
からげんき,空元気
からさわぎ,空騒ぎ
からし,からし
からす,からす
からす,枯らす
からす,涸らす
がらす,ガラス
からだ,からだ
からつゆ,空梅雨
からてがた,空手形
からばこ,から箱
からぶり,空振り
からまわり,空回り
からむ,からむ
からむ,からむ
からり,からり
がらり,がらり
かりかぶ,刈り株
かりこみ,刈込み
かりごや,仮小屋
かりて,借り手
かりとじ,仮綴じ
かりに,仮りに
かりぬい,仮縫い
かりぬし,借り主
かりば,狩り場
がりばん,ガリ版
かりぶしん,仮普譜
かりもの,借り物
かりる,借りる
がる,−がる
がる,−がる
かるた,かるた
かれい,かれい
かれえ,カレー
かれえだ,枯れ枝
かれき,枯れ木
かれくさ,枯れ草
かれの,枯れ野
かれは,枯れ葉
かれる,枯れる
かれる,涸れる
かろやか,軽やか
がろん,ガロン
かわあそび,川遊び
かわかす,乾かす
かわきり,皮切り
かわざんよう,皮算用
かわす,かわす
かわす,交わす
かわず,かわず
かわぞい,川沿い
かわづたい,川伝い
かわづら,河づら
かわびらき,川開き
かわり,代わり
かわり,変わり
かわりだね,変り種
かわる,代わる
